,Year,Province,Cities
4205,2016, Ontario/Quebec ,Ottawa-Gatineau
4206,2017, Ontario/Quebec ,Ottawa-Gatineau
4207,2018, Ontario/Quebec ,Ottawa-Gatineau
4208,2019, Ontario/Quebec ,Ottawa-Gatineau
4209,2020, Ontario/Quebec ,Ottawa-Gatineau
4210,2021, Ontario/Quebec ,Ottawa-Gatineau
4211,2022, Ontario/Quebec ,Ottawa-Gatineau
4212,2023, Ontario/Quebec ,Ottawa-Gatineau
4213,2013, Ontario/Quebec ,Ottawa-Gatineau
4214,2014, Ontario/Quebec ,Ottawa-Gatineau
4215,2015, Ontario/Quebec ,Ottawa-Gatineau
4216,2016, Ontario/Quebec ,Ottawa-Gatineau
4217,2017, Ontario/Quebec ,Ottawa-Gatineau
4218,2018, Ontario/Quebec ,Ottawa-Gatineau
4219,2019, Ontario/Quebec ,Ottawa-Gatineau
4220,2020, Ontario/Quebec ,Ottawa-Gatineau
4221,2021, Ontario/Quebec ,Ottawa-Gatineau
4222,2022, Ontario/Quebec ,Ottawa-Gatineau
4223,2023, Ontario/Quebec ,Ottawa-Gatineau
4235,2013, Ontario/Quebec ,Ottawa-Gatineau
4236,2014, Ontario/Quebec ,Ottawa-Gatineau
4237,2015, Ontario/Quebec ,Ottawa-Gatineau
4238,2016, Ontario/Quebec ,Ottawa-Gatineau
4239,2017, Ontario/Quebec ,Ottawa-Gatineau
4240,2018, Ontario/Quebec ,Ottawa-Gatineau
4241,2019, Ontario/Quebec ,Ottawa-Gatineau
4242,2020, Ontario/Quebec ,Ottawa-Gatineau
4243,2021, Ontario/Quebec ,Ottawa-Gatineau
4244,2022, Ontario/Quebec ,Ottawa-Gatineau
4245,2023, Ontario/Quebec ,Ottawa-Gatineau
4257,2013, Ontario/Quebec ,Ottawa-Gatineau
4258,2014, Ontario/Quebec ,Ottawa-Gatineau
4259,2015, Ontario/Quebec ,Ottawa-Gatineau
4260,2016, Ontario/Quebec ,Ottawa-Gatineau
4261,2017, Ontario/Quebec ,Ottawa-Gatineau
4262,2018, Ontario/Quebec ,Ottawa-Gatineau
4263,2019, Ontario/Quebec ,Ottawa-Gatineau
4264,2020, Ontario/Quebec ,Ottawa-Gatineau
4265,2021, Ontario/Quebec ,Ottawa-Gatineau
4266,2022, Ontario/Quebec ,Ottawa-Gatineau
4267,2023, Ontario/Quebec ,Ottawa-Gatineau
4279,2013, Ontario/Quebec ,Ottawa-Gatineau
4280,2014, Ontario/Quebec ,Ottawa-Gatineau
4281,2015, Ontario/Quebec ,Ottawa-Gatineau
4282,2016, Ontario/Quebec ,Ottawa-Gatineau
4283,2017, Ontario/Quebec ,Ottawa-Gatineau
4284,2018, Ontario/Quebec ,Ottawa-Gatineau
4285,2019, Ontario/Quebec ,Ottawa-Gatineau
4286,2020, Ontario/Quebec ,Ottawa-Gatineau
4287,2021, Ontario/Quebec ,Ottawa-Gatineau
4288,2022, Ontario/Quebec ,Ottawa-Gatineau
4289,2023, Ontario/Quebec ,Ottawa-Gatineau
4301,2013, Ontario/Quebec ,Ottawa-Gatineau
4302,2014, Ontario/Quebec ,Ottawa-Gatineau
4303,2015, Ontario/Quebec ,Ottawa-Gatineau
4304,2016, Ontario/Quebec ,Ottawa-Gatineau
4305,2017, Ontario/Quebec ,Ottawa-Gatineau
4306,2018, Ontario/Quebec ,Ottawa-Gatineau
4307,2019, Ontario/Quebec ,Ottawa-Gatineau
4308,2020, Ontario/Quebec ,Ottawa-Gatineau
4309,2021, Ontario/Quebec ,Ottawa-Gatineau
4310,2022, Ontario/Quebec ,Ottawa-Gatineau
4311,2023, Ontario/Quebec ,Ottawa-Gatineau
4345,2013, Ontario/Quebec ,Ottawa-Gatineau
4346,2014, Ontario/Quebec ,Ottawa-Gatineau
4347,2015, Ontario/Quebec ,Ottawa-Gatineau
4348,2016, Ontario/Quebec ,Ottawa-Gatineau
4349,2017, Ontario/Quebec ,Ottawa-Gatineau
4350,2018, Ontario/Quebec ,Ottawa-Gatineau
4351,2019, Ontario/Quebec ,Ottawa-Gatineau
4352,2020, Ontario/Quebec ,Ottawa-Gatineau
4353,2021, Ontario/Quebec ,Ottawa-Gatineau
4354,2022, Ontario/Quebec ,Ottawa-Gatineau
4355,2023, Ontario/Quebec ,Ottawa-Gatineau
4367,2013, Ontario/Quebec ,Ottawa-Gatineau
4368,2014, Ontario/Quebec ,Ottawa-Gatineau
4369,2015, Ontario/Quebec ,Ottawa-Gatineau
4370,2016, Ontario/Quebec ,Ottawa-Gatineau
4371,2017, Ontario/Quebec ,Ottawa-Gatineau
4372,2018, Ontario/Quebec ,Ottawa-Gatineau
4373,2019, Ontario/Quebec ,Ottawa-Gatineau
4374,2020, Ontario/Quebec ,Ottawa-Gatineau
4375,2021, Ontario/Quebec ,Ottawa-Gatineau
4376,2022, Ontario/Quebec ,Ottawa-Gatineau
4377,2023, Ontario/Quebec ,Ottawa-Gatineau
4378,2013, Ontario/Quebec ,Ottawa-Gatineau
4379,2014, Ontario/Quebec ,Ottawa-Gatineau
4380,2015, Ontario/Quebec ,Ottawa-Gatineau
4381,2016, Ontario/Quebec ,Ottawa-Gatineau
4382,2017, Ontario/Quebec ,Ottawa-Gatineau
4383,2018, Ontario/Quebec ,Ottawa-Gatineau
4384,2019, Ontario/Quebec ,Ottawa-Gatineau
4385,2020, Ontario/Quebec ,Ottawa-Gatineau
4386,2021, Ontario/Quebec ,Ottawa-Gatineau
4387,2022, Ontario/Quebec ,Ottawa-Gatineau
4388,2023, Ontario/Quebec ,Ottawa-Gatineau
4389,2013, Ontario/Quebec ,Ottawa-Gatineau
4390,2014, Ontario/Quebec ,Ottawa-Gatineau
4391,2015, Ontario/Quebec ,Ottawa-Gatineau
4392,2016, Ontario/Quebec ,Ottawa-Gatineau
4393,2017, Ontario/Quebec ,Ottawa-Gatineau
4394,2018, Ontario/Quebec ,Ottawa-Gatineau
4395,2019, Ontario/Quebec ,Ottawa-Gatineau
4396,2020, Ontario/Quebec ,Ottawa-Gatineau
4397,2021, Ontario/Quebec ,Ottawa-Gatineau
4398,2022, Ontario/Quebec ,Ottawa-Gatineau
4399,2023, Ontario/Quebec ,Ottawa-Gatineau
4400,2013, Ontario/Quebec ,Ottawa-Gatineau
4401,2014, Ontario/Quebec ,Ottawa-Gatineau
4402,2015, Ontario/Quebec ,Ottawa-Gatineau
4403,2016, Ontario/Quebec ,Ottawa-Gatineau
4404,2017, Ontario/Quebec ,Ottawa-Gatineau
4405,2018, Ontario/Quebec ,Ottawa-Gatineau
4406,2019, Ontario/Quebec ,Ottawa-Gatineau
4407,2020, Ontario/Quebec ,Ottawa-Gatineau
4408,2021, Ontario/Quebec ,Ottawa-Gatineau
4409,2022, Ontario/Quebec ,Ottawa-Gatineau
4410,2023, Ontario/Quebec ,Ottawa-Gatineau
4422,2013, Ontario/Quebec ,Ottawa-Gatineau
4423,2014, Ontario/Quebec ,Ottawa-Gatineau
4424,2015, Ontario/Quebec ,Ottawa-Gatineau
4425,2016, Ontario/Quebec ,Ottawa-Gatineau
4426,2017, Ontario/Quebec ,Ottawa-Gatineau
4427,2018, Ontario/Quebec ,Ottawa-Gatineau
4428,2019, Ontario/Quebec ,Ottawa-Gatineau
4429,2020, Ontario/Quebec ,Ottawa-Gatineau
4430,2021, Ontario/Quebec ,Ottawa-Gatineau
4431,2022, Ontario/Quebec ,Ottawa-Gatineau
4432,2023, Ontario/Quebec ,Ottawa-Gatineau
4444,2013, Ontario/Quebec ,Ottawa-Gatineau
4445,2014, Ontario/Quebec ,Ottawa-Gatineau
4446,2015, Ontario/Quebec ,Ottawa-Gatineau
4447,2016, Ontario/Quebec ,Ottawa-Gatineau
4448,2017, Ontario/Quebec ,Ottawa-Gatineau
4449,2018, Ontario/Quebec ,Ottawa-Gatineau
4450,2019, Ontario/Quebec ,Ottawa-Gatineau
4451,2020, Ontario/Quebec ,Ottawa-Gatineau
4452,2021, Ontario/Quebec ,Ottawa-Gatineau
4453,2022, Ontario/Quebec ,Ottawa-Gatineau
4454,2023, Ontario/Quebec ,Ottawa-Gatineau
4466,2013, Ontario/Quebec ,Ottawa-Gatineau
4467,2014, Ontario/Quebec ,Ottawa-Gatineau
4468,2015, Ontario/Quebec ,Ottawa-Gatineau
4469,2016, Ontario/Quebec ,Ottawa-Gatineau
4470,2017, Ontario/Quebec ,Ottawa-Gatineau
4471,2018, Ontario/Quebec ,Ottawa-Gatineau
4472,2019, Ontario/Quebec ,Ottawa-Gatineau
4473,2020, Ontario/Quebec ,Ottawa-Gatineau
4474,2021, Ontario/Quebec ,Ottawa-Gatineau
4475,2022, Ontario/Quebec ,Ottawa-Gatineau
4476,2023, Ontario/Quebec ,Ottawa-Gatineau
5236,2013, Ontario/Quebec ,Ottawa-Gatineau
5237,2014, Ontario/Quebec ,Ottawa-Gatineau
5238,2015, Ontario/Quebec ,Ottawa-Gatineau
5239,2016, Ontario/Quebec ,Ottawa-Gatineau
5240,2017, Ontario/Quebec ,Ottawa-Gatineau
5241,2018, Ontario/Quebec ,Ottawa-Gatineau
5242,2019, Ontario/Quebec ,Ottawa-Gatineau
5243,2020, Ontario/Quebec ,Ottawa-Gatineau
5244,2021, Ontario/Quebec ,Ottawa-Gatineau
5245,2022, Ontario/Quebec ,Ottawa-Gatineau
5246,2023, Ontario/Quebec ,Ottawa-Gatineau
5280,2013, Ontario/Quebec ,Ottawa-Gatineau
5281,2014, Ontario/Quebec ,Ottawa-Gatineau
5282,2015, Ontario/Quebec ,Ottawa-Gatineau
5283,2016, Ontario/Quebec ,Ottawa-Gatineau
5284,2017, Ontario/Quebec ,Ottawa-Gatineau
5285,2018, Ontario/Quebec ,Ottawa-Gatineau
5286,2019, Ontario/Quebec ,Ottawa-Gatineau
5287,2020, Ontario/Quebec ,Ottawa-Gatineau
5288,2021, Ontario/Quebec ,Ottawa-Gatineau
5289,2022, Ontario/Quebec ,Ottawa-Gatineau
5290,2023, Ontario/Quebec ,Ottawa-Gatineau
5302,2013, Ontario/Quebec ,Ottawa-Gatineau
5303,2014, Ontario/Quebec ,Ottawa-Gatineau
5304,2015, Ontario/Quebec ,Ottawa-Gatineau
5305,2016, Ontario/Quebec ,Ottawa-Gatineau
5306,2017, Ontario/Quebec ,Ottawa-Gatineau
5307,2018, Ontario/Quebec ,Ottawa-Gatineau
5308,2019, Ontario/Quebec ,Ottawa-Gatineau
5309,2020, Ontario/Quebec ,Ottawa-Gatineau
5310,2021, Ontario/Quebec ,Ottawa-Gatineau
5311,2022, Ontario/Quebec ,Ottawa-Gatineau
5312,2023, Ontario/Quebec ,Ottawa-Gatineau
5313,2013, Ontario/Quebec ,Ottawa-Gatineau
5314,2014, Ontario/Quebec ,Ottawa-Gatineau
5315,2015, Ontario/Quebec ,Ottawa-Gatineau
5316,2016, Ontario/Quebec ,Ottawa-Gatineau
5317,2017, Ontario/Quebec ,Ottawa-Gatineau
5318,2018, Ontario/Quebec ,Ottawa-Gatineau
5319,2019, Ontario/Quebec ,Ottawa-Gatineau
5320,2020, Ontario/Quebec ,Ottawa-Gatineau
5321,2021, Ontario/Quebec ,Ottawa-Gatineau
5322,2022, Ontario/Quebec ,Ottawa-Gatineau
5323,2023, Ontario/Quebec ,Ottawa-Gatineau
5324,2013, Ontario/Quebec ,Ottawa-Gatineau
5325,2014, Ontario/Quebec ,Ottawa-Gatineau
5326,2015, Ontario/Quebec ,Ottawa-Gatineau
5327,2016, Ontario/Quebec ,Ottawa-Gatineau
5328,2017, Ontario/Quebec ,Ottawa-Gatineau
5329,2018, Ontario/Quebec ,Ottawa-Gatineau
5330,2019, Ontario/Quebec ,Ottawa-Gatineau
5331,2020, Ontario/Quebec ,Ottawa-Gatineau
5332,2021, Ontario/Quebec ,Ottawa-Gatineau
5333,2022, Ontario/Quebec ,Ottawa-Gatineau
5334,2023, Ontario/Quebec ,Ottawa-Gatineau
5335,2013, Ontario/Quebec ,Ottawa-Gatineau
5336,2014, Ontario/Quebec ,Ottawa-Gatineau
5337,2015, Ontario/Quebec ,Ottawa-Gatineau
5338,2016, Ontario/Quebec ,Ottawa-Gatineau
5339,2017, Ontario/Quebec ,Ottawa-Gatineau
5340,2018, Ontario/Quebec ,Ottawa-Gatineau
5341,2019, Ontario/Quebec ,Ottawa-Gatineau
5342,2020, Ontario/Quebec ,Ottawa-Gatineau
5343,2021, Ontario/Quebec ,Ottawa-Gatineau
5344,2022, Ontario/Quebec ,Ottawa-Gatineau
5345,2023, Ontario/Quebec ,Ottawa-Gatineau
5357,2013, Ontario/Quebec ,Ottawa-Gatineau
5358,2014, Ontario/Quebec ,Ottawa-Gatineau
5359,2015, Ontario/Quebec ,Ottawa-Gatineau
5360,2016, Ontario/Quebec ,Ottawa-Gatineau
5361,2017, Ontario/Quebec ,Ottawa-Gatineau
5362,2018, Ontario/Quebec ,Ottawa-Gatineau
5363,2019, Ontario/Quebec ,Ottawa-Gatineau
5364,2020, Ontario/Quebec ,Ottawa-Gatineau
5365,2021, Ontario/Quebec ,Ottawa-Gatineau
5366,2022, Ontario/Quebec ,Ottawa-Gatineau
5367,2023, Ontario/Quebec ,Ottawa-Gatineau
5379,2013, Ontario/Quebec ,Ottawa-Gatineau
5380,2014, Ontario/Quebec ,Ottawa-Gatineau
5381,2015, Ontario/Quebec ,Ottawa-Gatineau
5382,2016, Ontario/Quebec ,Ottawa-Gatineau
5383,2017, Ontario/Quebec ,Ottawa-Gatineau
5384,2018, Ontario/Quebec ,Ottawa-Gatineau
5385,2019, Ontario/Quebec ,Ottawa-Gatineau
5386,2020, Ontario/Quebec ,Ottawa-Gatineau
5387,2021, Ontario/Quebec ,Ottawa-Gatineau
5388,2022, Ontario/Quebec ,Ottawa-Gatineau
5389,2023, Ontario/Quebec ,Ottawa-Gatineau
5401,2013, Ontario/Quebec ,Ottawa-Gatineau
5402,2014, Ontario/Quebec ,Ottawa-Gatineau
5403,2015, Ontario/Quebec ,Ottawa-Gatineau
5404,2016, Ontario/Quebec ,Ottawa-Gatineau
5405,2017, Ontario/Quebec ,Ottawa-Gatineau
5406,2018, Ontario/Quebec ,Ottawa-Gatineau
5407,2019, Ontario/Quebec ,Ottawa-Gatineau
5408,2020, Ontario/Quebec ,Ottawa-Gatineau
5409,2021, Ontario/Quebec ,Ottawa-Gatineau
5410,2022, Ontario/Quebec ,Ottawa-Gatineau
5411,2023, Ontario/Quebec ,Ottawa-Gatineau
5610,2013, Ontario/Quebec ,Ottawa-Gatineau
5611,2014, Ontario/Quebec ,Ottawa-Gatineau
5612,2015, Ontario/Quebec ,Ottawa-Gatineau
5613,2016, Ontario/Quebec ,Ottawa-Gatineau
5614,2017, Ontario/Quebec ,Ottawa-Gatineau
5615,2018, Ontario/Quebec ,Ottawa-Gatineau
5616,2019, Ontario/Quebec ,Ottawa-Gatineau
5617,2020, Ontario/Quebec ,Ottawa-Gatineau
5618,2021, Ontario/Quebec ,Ottawa-Gatineau
5619,2022, Ontario/Quebec ,Ottawa-Gatineau
5620,2023, Ontario/Quebec ,Ottawa-Gatineau
5654,2013, Ontario/Quebec ,Ottawa-Gatineau
5655,2014, Ontario/Quebec ,Ottawa-Gatineau
5656,2015, Ontario/Quebec ,Ottawa-Gatineau
5657,2016, Ontario/Quebec ,Ottawa-Gatineau
5658,2017, Ontario/Quebec ,Ottawa-Gatineau
5659,2018, Ontario/Quebec ,Ottawa-Gatineau
5660,2019, Ontario/Quebec ,Ottawa-Gatineau
5661,2020, Ontario/Quebec ,Ottawa-Gatineau
5662,2021, Ontario/Quebec ,Ottawa-Gatineau
5663,2022, Ontario/Quebec ,Ottawa-Gatineau
5664,2023, Ontario/Quebec ,Ottawa-Gatineau
5676,2013, Ontario/Quebec ,Ottawa-Gatineau
5677,2014, Ontario/Quebec ,Ottawa-Gatineau
5678,2015, Ontario/Quebec ,Ottawa-Gatineau
5679,2016, Ontario/Quebec ,Ottawa-Gatineau
5680,2017, Ontario/Quebec ,Ottawa-Gatineau
5681,2018, Ontario/Quebec ,Ottawa-Gatineau
5682,2019, Ontario/Quebec ,Ottawa-Gatineau
5683,2020, Ontario/Quebec ,Ottawa-Gatineau
5684,2021, Ontario/Quebec ,Ottawa-Gatineau
5685,2022, Ontario/Quebec ,Ottawa-Gatineau
5686,2023, Ontario/Quebec ,Ottawa-Gatineau
5687,2013, Ontario/Quebec ,Ottawa-Gatineau
5688,2014, Ontario/Quebec ,Ottawa-Gatineau
5689,2015, Ontario/Quebec ,Ottawa-Gatineau
5690,2016, Ontario/Quebec ,Ottawa-Gatineau
5691,2017, Ontario/Quebec ,Ottawa-Gatineau
5692,2018, Ontario/Quebec ,Ottawa-Gatineau
5693,2019, Ontario/Quebec ,Ottawa-Gatineau
5694,2020, Ontario/Quebec ,Ottawa-Gatineau
5695,2021, Ontario/Quebec ,Ottawa-Gatineau
5696,2022, Ontario/Quebec ,Ottawa-Gatineau
5697,2023, Ontario/Quebec ,Ottawa-Gatineau
5698,2013, Ontario/Quebec ,Ottawa-Gatineau
5699,2014, Ontario/Quebec ,Ottawa-Gatineau
5700,2015, Ontario/Quebec ,Ottawa-Gatineau
5701,2016, Ontario/Quebec ,Ottawa-Gatineau
5702,2017, Ontario/Quebec ,Ottawa-Gatineau
5703,2018, Ontario/Quebec ,Ottawa-Gatineau
5704,2019, Ontario/Quebec ,Ottawa-Gatineau
5705,2020, Ontario/Quebec ,Ottawa-Gatineau
5706,2021, Ontario/Quebec ,Ottawa-Gatineau
5707,2022, Ontario/Quebec ,Ottawa-Gatineau
5708,2023, Ontario/Quebec ,Ottawa-Gatineau
5709,2013, Ontario/Quebec ,Ottawa-Gatineau
5710,2014, Ontario/Quebec ,Ottawa-Gatineau
5711,2015, Ontario/Quebec ,Ottawa-Gatineau
5712,2016, Ontario/Quebec ,Ottawa-Gatineau
5713,2017, Ontario/Quebec ,Ottawa-Gatineau
5714,2018, Ontario/Quebec ,Ottawa-Gatineau
5715,2019, Ontario/Quebec ,Ottawa-Gatineau
5716,2020, Ontario/Quebec ,Ottawa-Gatineau
5717,2021, Ontario/Quebec ,Ottawa-Gatineau
5718,2022, Ontario/Quebec ,Ottawa-Gatineau
5719,2023, Ontario/Quebec ,Ottawa-Gatineau
5731,2013, Ontario/Quebec ,Ottawa-Gatineau
5732,2014, Ontario/Quebec ,Ottawa-Gatineau
5733,2015, Ontario/Quebec ,Ottawa-Gatineau
5734,2016, Ontario/Quebec ,Ottawa-Gatineau
5735,2017, Ontario/Quebec ,Ottawa-Gatineau
5736,2018, Ontario/Quebec ,Ottawa-Gatineau
5737,2019, Ontario/Quebec ,Ottawa-Gatineau
5738,2020, Ontario/Quebec ,Ottawa-Gatineau
5739,2021, Ontario/Quebec ,Ottawa-Gatineau
5740,2022, Ontario/Quebec ,Ottawa-Gatineau
5741,2023, Ontario/Quebec ,Ottawa-Gatineau
5753,2013, Ontario/Quebec ,Ottawa-Gatineau
5754,2014, Ontario/Quebec ,Ottawa-Gatineau
5755,2015, Ontario/Quebec ,Ottawa-Gatineau
5756,2016, Ontario/Quebec ,Ottawa-Gatineau
5757,2017, Ontario/Quebec ,Ottawa-Gatineau
5758,2018, Ontario/Quebec ,Ottawa-Gatineau
5759,2019, Ontario/Quebec ,Ottawa-Gatineau
5760,2020, Ontario/Quebec ,Ottawa-Gatineau
5761,2021, Ontario/Quebec ,Ottawa-Gatineau
5762,2022, Ontario/Quebec ,Ottawa-Gatineau
5763,2023, Ontario/Quebec ,Ottawa-Gatineau
5775,2013, Ontario/Quebec ,Ottawa-Gatineau
5776,2014, Ontario/Quebec ,Ottawa-Gatineau
5777,2015, Ontario/Quebec ,Ottawa-Gatineau
5778,2016, Ontario/Quebec ,Ottawa-Gatineau
5779,2017, Ontario/Quebec ,Ottawa-Gatineau
5780,2018, Ontario/Quebec ,Ottawa-Gatineau
5781,2019, Ontario/Quebec ,Ottawa-Gatineau
5782,2020, Ontario/Quebec ,Ottawa-Gatineau
5783,2021, Ontario/Quebec ,Ottawa-Gatineau
5784,2022, Ontario/Quebec ,Ottawa-Gatineau
5785,2023, Ontario/Quebec ,Ottawa-Gatineau
5797,2013, Ontario/Quebec ,Ottawa-Gatineau
5798,2014, Ontario/Quebec ,Ottawa-Gatineau
5799,2015, Ontario/Quebec ,Ottawa-Gatineau
5800,2016, Ontario/Quebec ,Ottawa-Gatineau
5801,2017, Ontario/Quebec ,Ottawa-Gatineau
5802,2018, Ontario/Quebec ,Ottawa-Gatineau
5803,2019, Ontario/Quebec ,Ottawa-Gatineau
5804,2020, Ontario/Quebec ,Ottawa-Gatineau
5805,2021, Ontario/Quebec ,Ottawa-Gatineau
5806,2022, Ontario/Quebec ,Ottawa-Gatineau
5807,2023, Ontario/Quebec ,Ottawa-Gatineau
5841,2013, Ontario/Quebec ,Ottawa-Gatineau
5842,2014, Ontario/Quebec ,Ottawa-Gatineau
5843,2015, Ontario/Quebec ,Ottawa-Gatineau
5844,2016, Ontario/Quebec ,Ottawa-Gatineau
5845,2017, Ontario/Quebec ,Ottawa-Gatineau
5846,2018, Ontario/Quebec ,Ottawa-Gatineau
5847,2019, Ontario/Quebec ,Ottawa-Gatineau
5848,2020, Ontario/Quebec ,Ottawa-Gatineau
5849,2021, Ontario/Quebec ,Ottawa-Gatineau
5850,2022, Ontario/Quebec ,Ottawa-Gatineau
5851,2023, Ontario/Quebec ,Ottawa-Gatineau
5863,2013, Ontario/Quebec ,Ottawa-Gatineau
5864,2014, Ontario/Quebec ,Ottawa-Gatineau
5865,2015, Ontario/Quebec ,Ottawa-Gatineau
5866,2016, Ontario/Quebec ,Ottawa-Gatineau
5867,2017, Ontario/Quebec ,Ottawa-Gatineau
5868,2018, Ontario/Quebec ,Ottawa-Gatineau
5869,2019, Ontario/Quebec ,Ottawa-Gatineau
5870,2020, Ontario/Quebec ,Ottawa-Gatineau
5871,2021, Ontario/Quebec ,Ottawa-Gatineau
5872,2022, Ontario/Quebec ,Ottawa-Gatineau
5873,2023, Ontario/Quebec ,Ottawa-Gatineau
5874,2013, Ontario/Quebec ,Ottawa-Gatineau
5875,2014, Ontario/Quebec ,Ottawa-Gatineau
5876,2015, Ontario/Quebec ,Ottawa-Gatineau
5877,2016, Ontario/Quebec ,Ottawa-Gatineau
5878,2017, Ontario/Quebec ,Ottawa-Gatineau
5879,2018, Ontario/Quebec ,Ottawa-Gatineau
5880,2019, Ontario/Quebec ,Ottawa-Gatineau
5881,2020, Ontario/Quebec ,Ottawa-Gatineau
5882,2021, Ontario/Quebec ,Ottawa-Gatineau
5883,2022, Ontario/Quebec ,Ottawa-Gatineau
5884,2023, Ontario/Quebec ,Ottawa-Gatineau
5885,2013, Ontario/Quebec ,Ottawa-Gatineau
5886,2014, Ontario/Quebec ,Ottawa-Gatineau
5887,2015, Ontario/Quebec ,Ottawa-Gatineau
5888,2016, Ontario/Quebec ,Ottawa-Gatineau
5889,2017, Ontario/Quebec ,Ottawa-Gatineau
5890,2018, Ontario/Quebec ,Ottawa-Gatineau
5891,2019, Ontario/Quebec ,Ottawa-Gatineau
5892,2020, Ontario/Quebec ,Ottawa-Gatineau
5893,2021, Ontario/Quebec ,Ottawa-Gatineau
5894,2022, Ontario/Quebec ,Ottawa-Gatineau
5895,2023, Ontario/Quebec ,Ottawa-Gatineau
5896,2013, Ontario/Quebec ,Ottawa-Gatineau
5897,2014, Ontario/Quebec ,Ottawa-Gatineau
5898,2015, Ontario/Quebec ,Ottawa-Gatineau
5899,2016, Ontario/Quebec ,Ottawa-Gatineau
5900,2017, Ontario/Quebec ,Ottawa-Gatineau
5901,2018, Ontario/Quebec ,Ottawa-Gatineau
5902,2019, Ontario/Quebec ,Ottawa-Gatineau
5903,2020, Ontario/Quebec ,Ottawa-Gatineau
5904,2021, Ontario/Quebec ,Ottawa-Gatineau
5905,2022, Ontario/Quebec ,Ottawa-Gatineau
5906,2023, Ontario/Quebec ,Ottawa-Gatineau
5918,2013, Ontario/Quebec ,Ottawa-Gatineau
5919,2014, Ontario/Quebec ,Ottawa-Gatineau
5920,2015, Ontario/Quebec ,Ottawa-Gatineau
5921,2016, Ontario/Quebec ,Ottawa-Gatineau
5922,2017, Ontario/Quebec ,Ottawa-Gatineau
5923,2018, Ontario/Quebec ,Ottawa-Gatineau
5924,2019, Ontario/Quebec ,Ottawa-Gatineau
5925,2020, Ontario/Quebec ,Ottawa-Gatineau
5926,2021, Ontario/Quebec ,Ottawa-Gatineau
5927,2022, Ontario/Quebec ,Ottawa-Gatineau
5928,2023, Ontario/Quebec ,Ottawa-Gatineau
5940,2013, Ontario/Quebec ,Ottawa-Gatineau
5941,2014, Ontario/Quebec ,Ottawa-Gatineau
5942,2015, Ontario/Quebec ,Ottawa-Gatineau
5943,2016, Ontario/Quebec ,Ottawa-Gatineau
5944,2017, Ontario/Quebec ,Ottawa-Gatineau
5945,2018, Ontario/Quebec ,Ottawa-Gatineau
5946,2019, Ontario/Quebec ,Ottawa-Gatineau
5947,2020, Ontario/Quebec ,Ottawa-Gatineau
5948,2021, Ontario/Quebec ,Ottawa-Gatineau
5949,2022, Ontario/Quebec ,Ottawa-Gatineau
5950,2023, Ontario/Quebec ,Ottawa-Gatineau
5962,2013, Ontario/Quebec ,Ottawa-Gatineau
5963,2014, Ontario/Quebec ,Ottawa-Gatineau
5964,2015, Ontario/Quebec ,Ottawa-Gatineau
5965,2016, Ontario/Quebec ,Ottawa-Gatineau
5966,2017, Ontario/Quebec ,Ottawa-Gatineau
5967,2018, Ontario/Quebec ,Ottawa-Gatineau
5968,2019, Ontario/Quebec ,Ottawa-Gatineau
5969,2020, Ontario/Quebec ,Ottawa-Gatineau
5970,2021, Ontario/Quebec ,Ottawa-Gatineau
5971,2022, Ontario/Quebec ,Ottawa-Gatineau
5972,2023, Ontario/Quebec ,Ottawa-Gatineau
6171,2013, Ontario/Quebec ,Ottawa-Gatineau
6172,2014, Ontario/Quebec ,Ottawa-Gatineau
6173,2015, Ontario/Quebec ,Ottawa-Gatineau
6174,2016, Ontario/Quebec ,Ottawa-Gatineau
6175,2017, Ontario/Quebec ,Ottawa-Gatineau
6176,2018, Ontario/Quebec ,Ottawa-Gatineau
6177,2019, Ontario/Quebec ,Ottawa-Gatineau
6178,2020, Ontario/Quebec ,Ottawa-Gatineau
6179,2021, Ontario/Quebec ,Ottawa-Gatineau
6180,2022, Ontario/Quebec ,Ottawa-Gatineau
6181,2023, Ontario/Quebec ,Ottawa-Gatineau
6215,2013, Ontario/Quebec ,Ottawa-Gatineau
6216,2014, Ontario/Quebec ,Ottawa-Gatineau
6217,2015, Ontario/Quebec ,Ottawa-Gatineau
6218,2016, Ontario/Quebec ,Ottawa-Gatineau
6219,2017, Ontario/Quebec ,Ottawa-Gatineau
6220,2018, Ontario/Quebec ,Ottawa-Gatineau
6221,2019, Ontario/Quebec ,Ottawa-Gatineau
6222,2020, Ontario/Quebec ,Ottawa-Gatineau
6223,2021, Ontario/Quebec ,Ottawa-Gatineau
6224,2022, Ontario/Quebec ,Ottawa-Gatineau
6225,2023, Ontario/Quebec ,Ottawa-Gatineau
6237,2013, Ontario/Quebec ,Ottawa-Gatineau
6238,2014, Ontario/Quebec ,Ottawa-Gatineau
6239,2015, Ontario/Quebec ,Ottawa-Gatineau
6240,2016, Ontario/Quebec ,Ottawa-Gatineau
6241,2017, Ontario/Quebec ,Ottawa-Gatineau
6242,2018, Ontario/Quebec ,Ottawa-Gatineau
6243,2019, Ontario/Quebec ,Ottawa-Gatineau
6244,2020, Ontario/Quebec ,Ottawa-Gatineau
6245,2021, Ontario/Quebec ,Ottawa-Gatineau
6246,2022, Ontario/Quebec ,Ottawa-Gatineau
6247,2023, Ontario/Quebec ,Ottawa-Gatineau
6248,2013, Ontario/Quebec ,Ottawa-Gatineau
